,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
42,BBC,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",Sun Apr 08 17:07:02 +0000 2018,0.0,0.0,0.0,1.0,43
43,BBC,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",Sun Apr 08 16:40:55 +0000 2018,0.0,0.0,0.0,1.0,44
44,BBC,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,Sun Apr 08 16:07:03 +0000 2018,-0.2263,0.0,0.106,0.894,45
45,BBC,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0",Sun Apr 08 15:31:00 +0000 2018,0.0,0.0,0.0,1.0,46
46,BBC,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",Sun Apr 08 15:11:04 +0000 2018,0.0,0.0,0.0,1.0,47
47,BBC,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,Sun Apr 08 13:54:07 +0000 2018,-0.2023,0.0,0.189,0.811,48
48,BBC,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",Sun Apr 08 13:23:39 +0000 2018,0.875,0.393,0.0,0.607,49
49,BBC,😂 'Surprise me'. https://t.co/Jo7illTafh,Sun Apr 08 13:03:04 +0000 2018,0.2732,0.512,0.0,0.488,50
50,BBC,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH",Sun Apr 08 11:00:15 +0000 2018,-0.0772,0.0,0.064,0.936,51
51,BBC,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",Sun Apr 08 10:15:06 +0000 2018,0.5859,0.213,0.0,0.787,52
52,BBC,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX",Sun Apr 08 10:01:07 +0000 2018,0.3818,0.12,0.0,0.88,53
53,BBC,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",Sun Apr 08 09:08:02 +0000 2018,0.0,0.0,0.0,1.0,54
